언론사,언론사url,언론사로고url,날짜,기사명,섹션,본문,본문url,회사명,회사종류,좋아요,추천반응수,댓글 수,첫번째이미지url,요약문,키워드1,키워드2,키워드3,키워드4
매일경제,http://www.mk.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/009/2017/12/27/logo_009_38_20171227161427.png,2022-02-16 17:13,'집콕'덕에 쑥쑥 크는 K정수기…실적 사상최대,경제,코웨이 작년 매출 3.6조원 BTS 효과에 13 늘어 SK매직 2년연속 1조클럽 코웨이 SK매직 등 국내 대,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004922817,삼성전자,IDM,0,1041,0,https://imgnews.pstatic.net/image/009/2022/02/16/0004922817_001_20220216171302319.jpg?type=w647,코 대표 렌탈가전 기업 코웨이는 지난해 세계적인 아이돌 그룹 BTS를 홍보 모델로 채용하면서 해외 실적이 크게 개선된 데 힘입어 지난해 연결기준 연간 매출이 3조6643억원으로 전년 대비 13.2 늘며 사상 최대치를 기록했으며 국내 1위 렌탈가전 기업 SK매직도 지난해 연결기준 연간 매출 1조788억원 영업이익 712억원을 기록하며 2년 연속 1조 클럽 에 가입했다.,#가전,#매직,#지난해,#매출
서울경제,http://www.sedaily.com/,https://mimgnews.pstatic.net/image/upload/office_logo/011/2017/12/27/logo_011_38_20171227161527.png,2022-02-16 14:48,"이석희 사장 “우크라이나 發 공급망 위기, 문제 없이 대비 중”",경제, 서울경제 이석희 SK하이닉스 사장이 우크라이나발 공급망 위기에 대해 문제 없이 대비하고 있다고 밝혔다. 이,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=011&aid=0004019475,하이닉스,IDM,0,308,0,https://imgnews.pstatic.net/image/011/2022/02/16/0004019475_001_20220216144801092.jpg?type=w647,이경제 이석희 SK하이닉스 사장은 16일 서울 롯데호텔에서 개최된 반도체 투자 활성화를 위한 기업 간담회에서 러시아 우크라이나 외교 갈등으로 야기될 반도체 공급망 위기에 대한 사전 사전 준비를 하며 문제 없이 대비하고 있다고 밝혔다.,#반도체,#기업,#대하,#사장
아시아경제,https://www.asiae.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/277/2017/12/27/logo_277_38_20171227165227.png,2022-02-16 6:30,[뉴욕증시]우크라 공포 진정되며 나스닥 2.53%↑…10년물 금리 2% 재돌파,경제, 이미지출처 연합뉴스 미국 뉴욕증시의 주요 지수는 15일 현지시간 러시아가 언제라도 우크라이나를 침공할 수 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=277&aid=0005045058,엔비디아,Fabless,4,1588,6,https://imgnews.pstatic.net/image/277/2022/02/16/0005045058_001_20220216063104224.jpg?type=w647,미국 뉴욕증시의 주요 지수는 러시아가 우크라이나 접경지대에 배치한 일부 군병력을 철수한다고 밝히면서 투심이 살아난 모습을 보이며 러시아가 언제라도 우크라이나를 침공할 수 있다는 우려가 진정되면서 다우존스30산업평균지수는 전날보다 422.67 1.22 상승한 3만4988.84에 거래를 마감했다.,#이날,#러시아,#미국,#지수
매일경제,http://www.mk.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/009/2017/12/27/logo_009_38_20171227161427.png,2022-02-16 19:13,[포토] 반도체 투자활성화 간담회,경제,문승욱 산업통상자원부 장관이 16일 오후 서울 중구 롯데호텔에서 열린 반도체분야 기업 간담회에서 반도체 기업,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004922960,삼성전자,IDM,1,245,0,https://imgnews.pstatic.net/image/009/2022/02/16/0004922960_001_20220216191301043.jpg?type=w647,"16일 문승욱 산업통상자원부 장관이 서울 중구 롯데호텔에서 열린 반도체분야 기업 간담회에서 네패스, 허염 실리콘마이터스, DB하이텍 대표 등 반도체 기업 대표들과 기념촬영을 했으며 이날 간담회에서 반도체 기업 대표들과 기념촬영을 했다.",#대표,#사장,#테크,#반도체
한국경제,http://www.hankyung.com/,https://mimgnews.pstatic.net/image/upload/office_logo/015/2017/12/27/logo_015_38_20171227161527.png,2022-02-16 9:15,"코스피, 우크라이나 긴장 완화에 2700선 회복…SK하이닉스 3%↑",경제,사진 게티이미지뱅크 코스피가 우크라이나를 둘러싼 러시아와 서방국가들의 군사적 긴장이 일부 완화된 영향으로 1,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004664150,하이닉스,IDM,0,202,0,https://imgnews.pstatic.net/image/015/2022/02/16/0004664150_001_20220216091501032.jpg?type=w647,16 코스피가 우크라이나를 둘러싼 러시아와 서방국가들의 군사적 긴장이 일부 완화된 영향으로 16일 장 초반 상승세를 보이고 있는데 이날 오전 9시5분 현재 코스피는 전일 대비 43.35포인트 1.62 오른 2719.89에 거래되고 있으며 긴장의 일부분만 완화됐지만 효과가 있었으며 특히 우크라이나가 반도체 공정에 필요한 네온 가스의 글로벌 공급 대부분을 담당하고 있다는 이유로 긴장이 고조될 때 약세를 보였던 반도체 기업들의 주가도 큰 폭으로 올랐다.,#러시아,#지수,#오르,#포인트
머니투데이,http://www.mt.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/008/2020/03/02/logo_008_38_20200302160202.png,2022-02-16 7:55,"""당장 전쟁 안 난다"" 안도...美증시 4일만에 상승[뉴욕마감](종합)",경제,The Fearless Girl statue is seen outside the New York Stock ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=008&aid=0004708672,인텔,IDM,17,225,28,https://imgnews.pstatic.net/image/008/2022/02/16/0004708672_001_20220216075901019.jpg?type=w647,러시아증시가 러시아가 우크라이나에 대한 즉각적인 침략을 철회하는 모습을 보이면서 뉴욕증시가 4거래일 만에 상승했는데 15일 현지시간 뉴욕 증시에서 다우지수는 전날보다 422.67포인트 1.22 오른 3만4988.84로 마감했으며 러시아 국방부는 우크라이나 국경 근처에서 훈련한 일부 병력들이 기존 기지로 복귀하기 시작했다고 밝혔고 월스트리트는 지정학적 긴장 완화에 안도하는 모습을 보였다.,#달러,#러시아,#시장,#뉴욕
한국경제,http://www.hankyung.com/,https://mimgnews.pstatic.net/image/upload/office_logo/015/2017/12/27/logo_015_38_20171227161527.png,2022-02-16 17:22,"AI 스타트업 업스테이지, SW 개발자 대상 '업스테이지 톡' 개최",IT,업스테이지 제공 인공지능 AI 스타트업 업스테이지의 소프트웨어 SW 개발자들의 현업 경험을 들을 수 있는 온,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=015&aid=0004664466,삼성전자,IDM,1,1812,0,https://imgnews.pstatic.net/image/015/2022/02/16/0004664466_001_20220216173005392.jpg?type=w647,16스테이지는 SW 엔지니어를 위한 온라인 이벤트 업스테이지 톡 을 오는 24일 프론트 백엔드 개발자가 AI 회사에서 뭐해요 라는 주제로 개최하여 현직 엔지니어들의 경험을 공유하는 강연과 참석자들에게 질문을 받는 패널토크 등 3개 세션으로 구성했다.,#스테이지,#엔지니어,#소프트웨어,#현직
ZDNet Korea,https://zdnet.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/092/2017/12/27/logo_092_38_20171227163127.png,2022-02-16 13:56,"상의, 업종별 ESG 10대 우수기업 노하우 공개",IT, 중소 중견기업 ESG A부터 Z까지 온라인 강의 3탄 영상 16일 공개 대한상공회의소 회장 최태원 는 중소,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002247762,하이닉스,IDM,0,244,0,none,중상공회의소 회장 최태원은 중소 중견기업을 위한 맞춤형 ESG 온라인 강의인 환경 사회 지배구조 ESG A부터 Z까지 강의영상 3탄을 16일부터 대한상의 홈페이지와 ESG 플랫폼 으쓱 ESG 을 통해 공개한다고 밝혔는데 ESG 온라인 강의는 최근 대기업뿐만 아니라 공급망 내 협력관계에 있는 중소 중견기업까지 ESG 실천 요구가 커지는 상황에서 ESG에 대한 기업 이해도를 높이고 실질적인 대응전략 마련을 지원하기 위해 제작했으며 대한상의 홈페이지와 ESG 플랫폼 으쓱 ESG 을 통해 공개한다고 밝혔다.,#강의,#기업,#중소,#중견
문화일보,http://www.munhwa.com/,https://mimgnews.pstatic.net/image/upload/office_logo/021/2017/12/27/logo_021_38_20171227162227.png,2022-02-16 12:31,주총 우편물 3000만장 감축… “원목 3000그루 보호”,경제,삼성전자 ESG 경영 강화 삼성전자가 오는 3월 16일 열리는 제53기 정기 주주총회 를 앞두고 주주들에게 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=021&aid=0002503555,삼성전자,IDM,0,47,0,none,"삼성전자가 오는 3월 16일 열리는 제53기 정기 주주총회 를 앞두고 우편물 발송을 위해 필요한 종이 소비를 절감하겠다는 취지로 우편물 대폭 감축하기로 했는데, 삼성전자 관계자는 우편물 감축을 통해 약 3000만 장의 종이를 절감할 수 있을 것 이라며 이는 원목 3000여 그루를 보호하는 효과에 속한다고 말했다.",#주주,#발송,#전자,#삼성전자
이코노미스트,https://jmagazine.joins.com/economist?cloc=joongang-home-jmnet,https://mimgnews.pstatic.net/image/upload/office_logo/243/2017/12/27/logo_243_38_20171227165027.png,2022-02-16 20:42,"""삼성 도움으로 자동차 생산 중단 막았다""...차량용반도체 공급망 협력 필수",경제,16일 시스템반도체 상생포럼 개최...생태계 강화 방안 모색 16일 서울대학교에서 열린 제 4회 시스템반도체,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=243&aid=0000022947,삼성전자,IDM,26,366,1,https://imgnews.pstatic.net/image/243/2022/02/16/0000022947_001_20220216204201485.jpg?type=w647,16일 서울대학교에서 열린 제 4회 시스템반도체 상생포럼에서는 지난해 전 세계적으로 발생했던 차량용반도체 쇼티지 공급부족을 삼성전자와 삼성전기 대덕전자 등 국내 반도체 공급망의 도움으로 넘길 수 있었다며 차량용반도체 현황과 전망을 나눴다.,#반도체,#차량,#업계,#말하
아시아경제,https://www.asiae.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/277/2017/12/27/logo_277_38_20171227165227.png,2022-02-16 11:39,반도체株에 다시 봄이 오나,경제,우크라 공포 수그러들자 연일 급락세서 반등 전환 전문가들 양호한 수요 주목 금리 인상 우려에 우크라이나와 러,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=277&aid=0005045355,하이닉스,IDM,9,1838,7,https://imgnews.pstatic.net/image/277/2022/02/16/0005045355_001_20220216114301457.jpg?type=w647,우크라이나와 러시아의 전쟁 공포에 짓눌렸던 반도체주가 메모리 D램 낸드플래시 반도체 시장에 대한 양호한 수요 전망에 힘입어 반등에 성공할 수 있을지 관심이 쏠리는 가운데 16일 오전 10시 기준 삼성전자는 전 거래일 대비 1 오른 7만4500원에 거래됐으며 SK하이닉스도 3.15 상승한 13만1000원에 거래됐다.,#반도체,#반등,#공포,#양호
아시아경제,https://www.asiae.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/277/2017/12/27/logo_277_38_20171227165227.png,2022-02-16 15:34,"이통3사, 연말부터 지하철에 10배 빠른 와이파이 제공",IT,SK텔레콤 KT LG유플러스가 연말부터 5세대 5G 이동통신 28 대역을 활용한 지하철 와이파이 서비스를 서,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=277&aid=0005045524,삼성전자,IDM,0,335,1,none,SK텔레콤 KT LG유플러스가 연말부터 5세대 5G 이동통신 28 대역을 활용한 지하철 와이파이 서비스를 서울 수도권 지하철 2 5 8호선 구간에서 제공하는데 조경식 과학기술정보통신부 과기정통부 제2차관은 16일 오전 0시 30분 5G 28 기지국 구축 공사가 진행되고 있는 서울 지하철 6호선 한강진역을 방문해 안전사항을 점검하고 현장 작업자들을 격려했으며 이통3사는 지난 해 지하철 2호선 성수지선에 5G 28 를 활용한 지하철 와이파이 성능개선 실증을 성공적으로 마무리하고 실증결과를 서울 지하철 본선으로 확대 구축 중이다.,#지하철,#와이,#파이,#서울
한국경제,http://www.hankyung.com/,https://mimgnews.pstatic.net/image/upload/office_logo/015/2017/12/27/logo_015_38_20171227161527.png,2022-02-16 15:00,"이베스트증권, '이베스트온' 쇼케이스 방송 진행…염블리·소수몽키 출연",경제,다음달 2일 유튜브 채널 통해 진행 사전 예약 이벤트도 실시 1주 랜덤 배정 이베스트투자증권은 염블리와 해외,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004664311,삼성전자,IDM,0,420,0,https://imgnews.pstatic.net/image/015/2022/02/16/0004664311_001_20220216150001156.jpg?type=w647,"이일베스트투자증권은 다양한 화면 모드 제공과 국내외 주식 통합 관리가 가능한 차세대 모바일트레이딩시스템 MTS 이베스트 온 eBEST ON 출시를 기념하여, 염블리와 해외주식 유튜버 소수몽키가 이베스트 온 eBEST ON 출시 기념 쇼케이스 방송과 이벤트를 다음달 2일 이베스트투자증권 이리온 유튜브에서 라이브로 방영할 예정이라고 밝혔다.",#베스트,#투자,#증권,#방송
한국경제,http://www.hankyung.com/,https://mimgnews.pstatic.net/image/upload/office_logo/015/2017/12/27/logo_015_38_20171227161527.png,2022-02-16 14:00,"삼성전자 노조 ""노동3권 보장한다더니…경영진 결단하라""",경제, 삼성에서 노동 3권 보장한다더니 임금교섭에서 진심 아닌 것 알게 돼 수단 방법 가리지 않고 투쟁할 것 삼성,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004664280,삼성전자,IDM,4,1605,143,https://imgnews.pstatic.net/image/015/2022/02/16/0004664280_001_20220216145601051.jpg?type=w647,전국삼성전자노조 등 삼성전자 내 4개 노조가 결성한 공동교섭단은 16일 서초사옥에서 기자회견을 열고 이재용 부회장이 삼성에서 노동 3권을 보장하겠다고 약속했지만 임금교섭에서 진심이 아닌 것을 알게 됐다 며 최고경영진에 직접 대화를 요구하고 나섰다.,#노조,#삼성전자,#교섭,#임금
디지털데일리,http://ddaily.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/138/2017/12/27/logo_138_38_20171227163427.png,2022-02-16 9:23,"반도체 M&A, 2월만 2건 실패…삼성전자, M&A 가능할까 [IT클로즈업]",IT,삼성전자 현금흐름표 엔비디아 영국 EU 정밀 검토 탓 ARM M A 포기 글로벌웨이퍼스 독일 실트로닉 M A,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=138&aid=0002119016,삼성전자,IDM,1,468,2,none,15일 업계에 따르면 반도체 업계 M A가 미국과 중국의 갈등 자국 중심 반도체 생태계 구축 시도 등으로 인해 점점 어려워지는 분위기이며 각국은 반도체 M A를 기술 및 생산능력 유출 최소화와 경쟁력 강화에 초점을 맞춰 심사하는 분위기인 반면 엔비디아는 ARM M A를 포기한 것으로 나타났다.,#반도체,#삼성전자,#점유율,#비디아
서울경제,http://www.sedaily.com/,https://mimgnews.pstatic.net/image/upload/office_logo/011/2017/12/27/logo_011_38_20171227161527.png,2022-02-16 17:58,인텔 '타워' 품으며 파운드리 강화…AMD는 60조에 '자일링스' 안아,경제, 반도체 투자 활성화 간담 속도내는 반도체 인수합병 SK 인텔 낸드 인수로 점유율 2위 삼성 전장 등 시스템,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=011&aid=0004019629,하이닉스,IDM,0,177,2,https://imgnews.pstatic.net/image/011/2022/02/16/0004019629_001_20220216231311658.jpg?type=w647,"서울텔은 15일 이스라엘 파운드리 반도체 위탁 생산 기업 타워세미컨덕터를 54억 달러에 인수한다고 발표하고, 세계 반도체 1위에 올라선 삼성전자 역시 기술 축적과 몸집 불리기를 위한 M A가 임박한 것으로 알려지며 서울경제 글로벌 반도체 대전 이 벌어진 가운데 인텔과 AMD SK하이닉스 등 내로라하는 기업들이 대규모 투자에 이어 인수합병 M A 에서도 성과를 내고 있어 당분간 업계 내 지각변동이 극심할 것으로 전망된다.",#반도체,#인수,#기업,#인텔
한국경제TV,http://www.wowtv.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/215/2017/12/27/logo_215_38_20171227165027.png,2022-02-16 17:37,"유니셈, 작년 사상 최고 실적 시현…고객사 ESG 경영 수혜",경제,반도체 및 디스플레이 장비 전문기업 유니셈이 올해도 사상 최고 실적을 경신했다. 16일 유니셈은 내부결산기준,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=215&aid=0001015068,하이닉스,IDM,0,94,0,https://imgnews.pstatic.net/image/215/2022/02/16/A202202160214_1_20220216173802381.jpg?type=w647,16일 반도체 및 디스플레이 장비 전문기업 유니셈은 내부결산기준 지난해 연결 매출액 2 961억원 영업이익 437억원을 기록하여 사상 최고 실적을 경신했다고 밝혔으며 지난해 주요 반도체 디스플레이 고객사들의 설비투자 확대로 스크러버 및 칠러 공급이 크게 늘었다고 전했다.,#유니,#디스플레이,#반도체,#러버
한국경제,http://www.hankyung.com/,https://mimgnews.pstatic.net/image/upload/office_logo/015/2017/12/27/logo_015_38_20171227161527.png,2022-02-16 17:18,"""저평가·고성장 '양날개' 단 종목 담아라""",경제,하나금투 저PER만으론 부족 실적 받쳐줘야 수익률 극대화 DL HMM LX인터 등 추천 최근 증시 변동성이 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004664453,LX세미콘,Fabless,1,1033,13,https://imgnews.pstatic.net/image/015/2022/02/16/0004664453_001_20220217015902376.jpg?type=w647,16일 하나금융투자는 저평가된 종목도 실적의 힘이 받쳐줘야 투자 수익률을 극대화할 수 있다며 중장기적으로 보았을 때 저평가와 실적 상향의 조합이 가장 압도적이고 뛰어난 성과를 보였다 며 유망종목을 추린 보고서를 냈다.,#금융,#지주,#종목,#평가
