언론사,언론사url,언론사로고url,날짜,기사명,섹션,본문,본문url,회사명,회사종류,좋아요,추천반응수,댓글 수,첫번째이미지url,요약문,키워드1,키워드2,키워드3,키워드4
ZDNet Korea,https://zdnet.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/092/2017/12/27/logo_092_38_20171227163127.png,10:01 AM 2022/03/16,[이슈진단+] 인텔은 왜 독일에 새 반도체 공장 지을까,IT, 이슈진단 인텔 유럽 대규모 투자 배경과 파장 인텔이 지난 해 3월 내세운 IDM 종합 반도체 업체 2.0 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002250593,인텔,IDM,1,193,5,none,"['사진 인텔 인텔은 이를 해결하기 위해 독일 마그데부르크에 2027년부터 가동될 반도체 생산시설을 신설하는 한편 아일랜드 레이슬립의 생산시설 규모를 2배로 늘리기로 했다.', '인텔은 지난 1월 미국 오하이오 주 반도체 생산시설 건립 발표에 이어 15일 미국 현지시간 독일 마그데부르크에 2027년부터 가동될 반도체 생산시설을 신설하겠다고 밝혔다.', '첨단 생산 시설 유럽에 확충...노광장비 반입시간 단축 기대 인텔은 아일랜드 레이슬립에 지난 2019년부터 세운 인텔 4공정 7나노급 을 적용한 생산시설에서 내년부터 메테오레이크 Meteor Lake 등 차세대 제품을 생산할 예정이다.']",생산,시설,유럽,생산량
디지털타임스,http://www.dt.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/029/2018/07/18/logo_029_38_20180718140418.jpg,7:46 PM 2022/03/16,"유럽 반도체 공급망 지원 호응… 인텔, 10년간 110조 통큰 투자",경제,미국 반도체 기업 인텔이 10년간 유럽에 반도체 생산과 연구 개발을 목적으로 800억 유로 약 110조원 를,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002725134,삼성전자,IDM,0,526,1,https://imgnews.pstatic.net/image/029/2022/03/16/0002725134_001_20220316194710799.jpg?type=w647,"['미국 반도체 기업 인텔이 10년간 유럽에 반도체 생산과 연구 개발을 목적으로 800억 유로 약 110조원 를 투자한다.', '인텔은 먼저 독일 마그데부르크에 170억 유로 약 23조원 를 들여 반도체 공장을 짓고 프랑스에 연구 개발 R D 센터를 건설하며 이탈리아에는 포장 및 조립시설을 만들고 아일랜드에 120억 유로 약 16조4000억원 를 들여 생산시설을 확장한다.', '미국에 이어 유럽에서도 대규모 투자를 단행하면서 인텔과 서방국 간의 반도체 동맹 체제가 한층 견고해질 것으로 보인다.']",유로,투자,생산,유럽
세계일보,http://www.segye.com/,https://mimgnews.pstatic.net/image/upload/office_logo/022/2017/12/27/logo_022_38_20171227162227.png,7:41 PM 2022/03/16,삼성전자 “로봇·메타버스 신성장 사업으로 적극 육성”,경제,주총서 3대 사업방향 제시 2022년 반도체시장 9 성장 예상 기술초격차 과감한 투자로 중장기 지속성장 발판,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=022&aid=0003676702,삼성전자,IDM,2,92,0,https://imgnews.pstatic.net/image/022/2022/03/16/20220316517781_20220316194102406.jpg?type=w647,"['주총서 3대 사업방향 제시 2022년 반도체시장 9 성장 예상 기술초격차 과감한 투자로 중장기 지속성장 발판 마련 GOS사태엔 고객께 죄송 사진 뉴스1 삼성전자가 16일 스마트폰 등 멀티 디바이스를 기반으로 고객 경험을 혁신하고 프리미엄 영역에서 리더십을 공고히 하는 내용을 포함한 올해 경영전략을 발표했다.', '소비자가전과 정보기술 IT 모바일 사업을 담당하는 DX부문은 올해 멀티 디바이스 기반 고객 경험 혁신 프리미엄 영역 리더십 강화 미래 성장 모멘텀 강화 등을 3대 주요 사업 방향으로 제시했다.', '그는 메타버스 등 신성장 사업을 적극 개발할 계획으로 고객이 언제 어디서든지 메타버스 경험을 할 수 있게 최적화된 디바이스와 솔루션을 개발하겠다 는 계획도 덧붙였다.']",사업,고객,성장,디바이스
노컷뉴스,http://www.nocutnews.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/079/2017/12/27/logo_079_38_20171227163027.png,2:05 PM 2022/03/16,"LG엔솔, RE100 이사회 자문기구 선정…국내 기업 최초",경제,글로벌 배터리 업계에서도 첫 사례 RE100 전환 실적 국내 기업 최고 수준 연합뉴스 LG에너지솔루션이 기업,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=079&aid=0003621047,하이닉스,IDM,2,576,2,https://imgnews.pstatic.net/image/079/2022/03/16/0003621047_001_20220316140501280.jpg?type=w647,"['국내 산업계는 물론 글로벌 배터리 업계에서 RE100 정책자문기구로 선정된 기업은 LG에너지솔루션이 처음이다.', '글로벌 배터리 업계에서도 첫 사례 RE100 전환 실적 국내 기업 최고 수준 연합뉴스 LG에너지솔루션이 기업의 사용 전력 100 를 재생 에너지로 충당한다는 글로벌 캠페인 협의체인 RE100 이사회에 자문 역할을 하는 기업으로 선정됐다.', 'RE100 이사회는 재생에너지 관련 전문성과 경험 미래 RE100 달성 계획 등을 평가 심사해 정책자문기구에서 활동할 기업 또는 전문가를 선정한다.']",에너지,솔루션,자문,업계
조선비즈,http://biz.chosun.com/,https://mimgnews.pstatic.net/image/upload/office_logo/366/2017/12/27/logo_366_38_20171227165527.png,8:25 AM 2022/03/16,"삼성에 자존심 구긴 인텔, 10년간 유럽에 110조원 투자 발표",세계,인텔이 독일에 반도체 공장을 건설하고 향후 10년간 유럽에 반도체 생산과 연구 개발을 위해 800억유로 약 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=366&aid=0000799885,인텔,IDM,19,33,12,https://imgnews.pstatic.net/image/366/2022/03/16/0000799885_001_20220316082502792.jpg?type=w647,"['인텔이 독일에 반도체 공장을 건설하고 향후 10년간 유럽에 반도체 생산과 연구 개발을 위해 800억유로 약 110조원 를 대대적으로 투자하기로 했다고 로이터 통신과 뉴욕타임스 NYT AFP 통신 등 주요 외신이 15일 현지 시각 보도했다.', '인텔의 유럽 투자의 핵심은 독일 마그데부르크 지역에 170억유로 23조3000억원 를 들여 2개의 반도체 공장을 건설하는 것이다.', '인텔은 독일의 구 동독지역인 마그데부르크에 170억유로 약 23조원 를 들여 반도체 공장을 짓고 프랑스에 연구 개발 R D 센터를 건설하며 이탈리아에는 포장 및 조립시설을 만들고 아일랜드에 120억유로 약 16조4000억원 를 들여 생산시설을 확장한다.']",유로,투자,생산,유럽
헤럴드경제,http://www.heraldbiz.com/,https://mimgnews.pstatic.net/image/upload/office_logo/016/2017/12/27/logo_016_38_20171227161627.png,11:21 AM 2022/03/16,다음 10년 과제는 ‘글로벌 공급망 규범’으로의 진화,경제,대한상의 서 10주년 기념행사 미중갈등 러제재 불확실성 커져 공급망 질서 바로 세우는 계기로 측 미국내 성공,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001964558,퀄컴,Fabless,0,797,0,https://imgnews.pstatic.net/image/016/2022/03/16/20220316000463_0_20220316112105783.jpg?type=w647,"['우태희 대한상공회의소 상근부회장은 한미 FTA는 미국이 아시아 국가와 체결한 첫 번째 자유무역협정이며 지난 10년 간 글로벌 통상규범의 기준이 되어왔다 면서 미중갈등 심화 러시아 제재 공급망 불안 등 불확실성이 커지는 가운데 앞으로 미국을 중심으로 한 글로벌 공급망 체제 개편에 한미 FTA가 규범적 질서를 공급할 수 있어야 한다 고 밝혔다.', '대한상의 서 10주년 기념행사 미중갈등 러제재 불확실성 커져 공급망 질서 바로 세우는 계기로 측 미국내 성공한 FTA로 평가 양국간 경협 중요 토대 기대감도 대한상공회의소 회장 최태원 가 15일 현지시각 워싱턴 D.C. 윌라드 호텔에서 미국상공회의소 와 공동으로 한미 FTA 10주년 기념식 을 개최했다.', '도한의 포스코 미국법인장은 글로벌 시장 트렌드를 주도하는 미국과의 자유무역협정은 한국 기업의 경쟁력 향상에 많은 기여를 했다 면서 한미 FTA 발효 후 자동차 미국 수출은 2011년 88억 달러에서 2021년 172억 달러로 약 96 증가했으며 자동차 부품 수출도 같은기간 52억 달러에서 69억 달러로 약 33 성장했다 고 말했다.']",미국,한미,공급,상공
전자신문,http://www.etnews.com/,https://mimgnews.pstatic.net/image/upload/office_logo/030/2017/12/27/logo_030_38_20171227162327.png,1:07 PM 2022/03/16,[스페셜리포트]반도체 생산 아시아 독주서 美·유럽 '3각 경쟁' 체제로 재편,IT,인텔 유럽에 110조원 대규모 투자 의미 인텔이 독일 아일랜드 프랑스 등 유럽연합 EU 주요국에 반도체 제조,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=030&aid=0003004132,인텔,IDM,1,170,2,https://imgnews.pstatic.net/image/030/2022/03/16/0003004132_001_20220316165601148.jpg?type=w647,"['결국 이번 투자는 반도체 생산능력을 키우려는 유럽과 첨단 공정을 확대 시장을 창출하려는 인텔의 이해 관계가 맞아 떨어진 결과다.', '결국 인텔 파운드리는 퀄컴을 포함 애플 엔비디아 메타 구글 등 첨단 반도체 팹리스와 정보기술 IT 기업을 고객사로 확보하기 위해 치열한 영업전략을 전개할 것으로 관측된다.', '반도체 팹리스 업계 관계자는 인텔이 얼마나 빠르게 첨단 공정 기술을 확보하고 안정적 양산 체계를 확립하느냐에 따라 파운드리 시장 판도가 뒤바뀔 수 있다 고 설명했다.']",유럽,미국,첨단,파운드리
아이뉴스24,http://www.inews24.com/,https://mimgnews.pstatic.net/image/upload/office_logo/031/2020/12/02/logo_031_38_20201202114510.png,5:01 PM 2022/03/16,"[삼성전자 주총] ""노조 생떼 못참겠다""…뿔난 주주들 쓴소리 폭발",경제,18일 경계현 사장 노조 만남 앞두고 노조 비판 줄이어 주총장 곳곳서 박수갈채 기업의 주인은 주주입니다. 노,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=031&aid=0000659864,하이닉스,IDM,157,897,80,https://imgnews.pstatic.net/image/031/2022/03/16/0000659864_001_20220316170101764.jpg?type=w647,"['사진 김성진 기자 삼성전자 노조는 그동안 연봉 1천만원 일괄 인상과 영업이익 25 성과급 지급 성과급 등 급여 지급 체계 공개 등을 요구한 것으로 알려졌다.', '한종희 삼성전자 대표이사 부회장 DX부문장 이 16일 경기도 수원시 수원컨벤션센터에서 열린 제53기 삼성전자 정기 주주총회에서 인사말을 하고 있다.', '그는 삼성전자에 노조가 필요하다는 점은 인정하지만 국민에게 귀족노조라는 인상을 주지 않길 바란다 며 내일 모레쯤 사장이 노조 임원을 만나는데 노조 경영진 외 다른 한쪽에 주주가 있다는 점을 잊지 않았으면 한다 고 강조했다.']",노조,주주,요구,성과급
한국경제,http://www.hankyung.com/,https://mimgnews.pstatic.net/image/upload/office_logo/015/2017/12/27/logo_015_38_20171227161527.png,10:01 PM 2022/03/16,"'삼성 대신 구글 OS' 효과 톡톡…갤워치, 점유율 2위 도약",IT,삼성 화웨이 누르고 지난해 글로벌 점유율 2위 등극 1위는 애플워치 지난해 점유율 30.1 갤럭시워치4 안드,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=015&aid=0004674849,삼성전자,IDM,10,616,14,https://imgnews.pstatic.net/image/015/2022/03/16/0004674849_001_20220316220101056.jpg?type=w647,"['삼성 화웨이 누르고 지난해 글로벌 점유율 2위 등극 1위는 애플워치 지난해 점유율 30.1 갤럭시워치4 안드로이드 탑재하고 기기간 연동성 강화 카운터포인트리서치 삼성 지난해 가장 성공적 평가 갤럭시워치4 갤럭시버즈2 메종키츠네 에디션.', '삼성전자는 지난해 갤럭시워치4부터 안드로이드를 탑재 스마트폰과의 기기 연동성을 강화했다.', '16일 카운터포인트리서치에 따르면 글로벌 스마트워치 시장에서 삼성전자는 지난해 10.2 를 기록했다.']",지난해,삼성,점유율,포인트
국제신문,http://www.kookje.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/658/2022/01/20/logo_658_38_20220120164912.png,2:38 PM 2022/03/16,UNIST 개교 이래 첫 동문 출신 교수 탄생,사회,학부 3기 윤희인 씨 전기전자공학과 교수로 3월 임용 근무중 모교 대학원 박사 미국 퀄컴 근무 반도체 디자인,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=658&aid=0000004519,퀄컴,Fabless,4,482,0,https://imgnews.pstatic.net/image/658/2022/03/16/0000004519_001_20220316143802814.jpg?type=w647,"['학부 3기 윤희인 씨 전기전자공학과 교수로 3월 임용 근무중 모교 대학원 박사 미국 퀄컴 근무 반도체 디자인 참여 경력 UNIST 울산과학기술원 총장 이용훈 는 개교 이래 첫 동문 출신 교수가 탄생했다고 16일 밝혔다.', '윤 교수는 UNIST 전기전자공학과에서 반도체 회로 분야 연구를 계속 수행할 계획이다.', 'UNIST 졸업생 중 최초로 모교 교수로 임용돼 3월부터 근무 중인 윤희인 전기전자공학과 교수.']",교수,근무,전기,자공
헤럴드경제,http://www.heraldbiz.com/,https://mimgnews.pstatic.net/image/upload/office_logo/016/2017/12/27/logo_016_38_20171227161627.png,11:39 AM 2022/03/16,"SK실트론, 웨이퍼 공장 증설 1조 투자",경제,창사 이래 최대 규모 구미에 4만2716 부지 매입 반도체 시장 웨이퍼 수요 급증 안정적 소재 공급 경쟁력 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001964615,하이닉스,IDM,4,499,0,https://imgnews.pstatic.net/image/016/2022/03/16/20220316000527_0_20220316113901860.jpg?type=w647,"['SK실트론은 본사가 위치한 구미국가산업단지 3공단에 향후 3년간 총 1조495억원을 투자해 최첨단 반도체 웨이퍼 공장을 증설할 계획 이라며 세계 반도체 시장의 웨이퍼 수요 급증과 고객사의 지속적인 공급 요청에 적극적으로 대응하고 사업 경쟁력을 확보할 것 이라고 16일 밝혔다.', '창사 이래 최대 규모 구미에 4만2716 부지 매입 반도체 시장 웨이퍼 수요 급증 안정적 소재 공급 경쟁력 확보 경북 구미에 위치한 SK실트론 공장 전경.', '장용호 SK실트론 사장은 이번 증설 투자는 시장 환경 변화에 대한 정확한 예측과 민첩한 대응을 위한 도전적인 투자 라며 글로벌 반도체 회사들과의 협업을 통한 기술 혁신으로 고품질의 웨이퍼 제조 역량을 갖춰 글로벌 웨이퍼 업계 리더로 도약할 것 이라고 말했다.']",웨이퍼,공급,투자,증설
